name	lon	lat	pop	pat
県	139.5116389	35.45297222	8848329	NA
横浜	139.5822222	35.46472222	3605951	NA
鶴見	139.6707778	35.51413889	264655	1432
神奈川	139.62375	35.48616667	222482	1230
西	139.6165278	35.45641667	90355	715
中	139.6463611	35.43336111	132317	1418
南	139.6041944	35.42911111	193229	1643
保土ケ谷	139.5817222	35.46019444	202153	961
磯子	139.6123056	35.39547222	163046	904
金沢	139.6209167	35.34605556	207952	857
港北	139.6275556	35.52911111	317483	1737
戸塚	139.535	35.40552778	270319	1095
港南	139.5795	35.39630556	220501	1217
旭	139.5304167	35.47455556	250369	1112
緑	139.53175	35.51613889	173765	728
瀬谷	139.4886944	35.46508333	126887	461
栄	139.5534444	35.36422222	125444	366
泉	139.5030556	35.42030556	154158	556
青葉	139.5280556	35.55833333	296840	1280
都筑	139.5769444	35.54472222	193996	836
川崎	139.6159722	35.57738889	1359063	NA
川崎	139.7149444	35.52419444	207165	1858
幸	139.6800833	35.54405556	148945	949
中原	139.6517778	35.5745	220752	1239
高津	139.61625	35.59119444	207446	1179
多摩	139.5522222	35.61944444	200051	993
宮前	139.5805278	35.58494444	212129	966
麻生	139.5035556	35.60072222	162575	614
相模原	139.3735278	35.55722222	694752	NA
緑	139.3004444	35.59086111	169439	525
中央	139.3726389	35.5655	272638	862
南	139.4201389	35.52811111	280664	1132
横須賀	139.6715278	35.25311111	426099	1989
平塚	139.3318611	35.34483333	257427	849
鎌倉	139.5315	35.33119444	176669	586
藤沢	139.4671667	35.35872222	402294	2207
小田原	139.1678056	35.27836111	196916	456
茅ヶ崎	139.4104167	35.33761111	234364	1021
逗子	139.5832222	35.29919444	60052	235
三浦	139.6373889	35.16802778	49793	104
秦野	139.2219444	35.37591667	161611	423
厚木	139.3464722	35.458	219510	1151
大和	139.4557222	35.47711111	221361	1344
伊勢原	139.3146111	35.40133333	97665	292
海老名	139.3981389	35.44736111	125837	585
座間	139.4152778	35.48975	126910	517
南足柄	139.1117222	35.31419444	44330	100
綾瀬	139.4296111	35.44138889	81100	549
葉山	139.5882778	35.27322222	33325	84
寒川	139.3882778	35.3755	47569	198
大磯	139.2974722	35.31122222	33639	91
二宮	139.2512778	35.30466667	30130	41
中井	139.2246111	35.33597222	9978	19
大井	139.1541944	35.33116667	18090	33
松田	139.1388889	35.35386111	12088	19
山北	139.0839722	35.36411111	12301	18
開成	139.1261389	35.33305556	15934	53
箱根	139.0490833	35.24575	13210	22
真鶴	139.1369167	35.15844444	8550	7
湯河原	139.1068611	35.15008333	27521	37
愛川	139.3183056	35.52444444	40957	233
清川	139.2775	35.48	3333	3
