week	r100k	la	lo	pop
279	5.31	141.90 	43.08 	5286000
4	0.32	140.91 	40.71 	1263000
1	0.08	141.30 	39.51 	1241000
60	2.6	140.97 	38.35 	2316000
0	0	140.27 	39.71 	981000
6	0.56	140.16 	38.42 	1090000
86	4.66	140.46 	37.41 	1864000
174	6.08	140.28 	36.22 	2877000
56	2.9	139.83 	36.53 	1946000
127	6.54	139.14 	36.36 	1952000
692	9.41	139.57 	35.93 	7330000
819	13.09	140.09 	35.67 	6255000
1942	13.95	139.64 	35.69 	13822000
699	7.6	139.51 	35.45 	9177000
48	2.16	138.89 	37.63 	2246000
2	0.19	137.16 	36.72 	1050000
61	5.36	136.65 	36.64 	1143000
3	0.39	136.17 	35.95 	774000
4	0.49	138.62 	35.63 	817000
6	0.29	138.11 	36.26 	2063000
51	2.57	136.90 	35.47 	1997000
138	3.79	138.32 	34.93 	3659000
291	3.85	137.00 	35.09 	7537000
52	2.92	136.52 	34.74 	1791000
83	5.87	136.08 	35.12 	1412000
47	1.82	135.67 	35.02 	2591000
506	5.74	135.53 	34.66 	8813000
163	2.98	135.07 	34.79 	5484000
23	1.73	135.77 	34.58 	1339000
4	0.43	135.33 	34.09 	935000
2	0.36	133.78 	35.45 	560000
3	0.45	132.72 	35.26 	680000
18	0.95	133.85 	34.69 	1898000
25	0.89	132.73 	34.43 	2817000
13	0.96	131.50 	34.08 	1370000
5	0.69	134.45 	34.04 	736000
11	1.15	133.96 	34.28 	962000
13	0.97	132.87 	33.78 	1352000
0	0	133.46 	33.45 	706000
242	4.74	130.58 	33.60 	5107000
45	5.52	130.18 	33.29 	819000
7	0.53	129.82 	32.97 	1341000
6	0.34	130.68 	32.73 	1757000
8	0.7	131.53 	33.26 	1144000
5	0.47	131.36 	32.03 	1081000
16	1	130.48 	31.33 	1614000
111	7.64	127.52 	26.16 	1448000
